lat,lon,year,month
34.0,-115.0,2021,3
34.0,-115.0,2021,4
34.0,-115.0,2021,5
34.0,-115.0,2021,6
34.0,-115.0,2021,7
34.0,-115.0,2021,8
34.0,-115.0,2021,9
34.0,-115.0,2021,10
34.0,-115.0,2021,11
34.0,-115.0,2021,12
35.0,-122.0,2019,7
35.0,-122.0,2019,8
35.0,-122.0,2019,9
35.0,-122.0,2019,10
35.0,-122.0,2019,11
35.0,-122.0,2019,12
35.0,-122.0,2020,1
35.0,-122.0,2020,2
35.0,-122.0,2020,3
35.0,-122.0,2020,4
35.0,-122.0,2020,5
35.0,-122.0,2020,6
35.0,-122.0,2020,7
35.0,-122.0,2020,8
35.0,-122.0,2020,9
35.0,-122.0,2020,10
35.0,-122.0,2020,11
35.0,-122.0,2020,12
35.0,-122.0,2021,1
35.0,-122.0,2021,2
35.0,-122.0,2021,3
35.0,-122.0,2021,4
35.0,-122.0,2021,5
35.0,-122.0,2021,6
35.0,-122.0,2021,7
35.0,-122.0,2021,8
35.0,-122.0,2021,9
35.0,-122.0,2021,10
35.0,-122.0,2021,11
35.0,-122.0,2021,12
35.0,-121.0,2019,7
35.0,-121.0,2019,8
35.0,-121.0,2019,9
35.0,-121.0,2019,10
35.0,-121.0,2019,11
35.0,-121.0,2019,12
35.0,-121.0,2020,1
35.0,-121.0,2020,2
35.0,-121.0,2020,3
35.0,-121.0,2020,4
35.0,-121.0,2020,5
35.0,-121.0,2020,6
35.0,-121.0,2020,7
35.0,-121.0,2020,8
35.0,-121.0,2020,9
35.0,-121.0,2020,10
35.0,-121.0,2020,11
35.0,-121.0,2020,12
35.0,-121.0,2021,1
35.0,-121.0,2021,2
35.0,-121.0,2021,3
35.0,-121.0,2021,4
35.0,-121.0,2021,5
35.0,-121.0,2021,6
35.0,-121.0,2021,7
35.0,-121.0,2021,8
35.0,-121.0,2021,9
35.0,-121.0,2021,10
35.0,-121.0,2021,11
35.0,-121.0,2021,12
35.0,-120.0,2019,7
35.0,-120.0,2019,8
35.0,-120.0,2019,9
35.0,-120.0,2019,10
35.0,-120.0,2019,11
35.0,-120.0,2019,12
35.0,-120.0,2020,1
35.0,-120.0,2020,2
35.0,-120.0,2020,3
35.0,-120.0,2020,4
35.0,-120.0,2020,5
35.0,-120.0,2020,6
35.0,-120.0,2020,7
35.0,-120.0,2020,8
35.0,-120.0,2020,9
35.0,-120.0,2020,10
35.0,-120.0,2020,11
35.0,-120.0,2020,12
35.0,-120.0,2021,1
35.0,-120.0,2021,2
35.0,-120.0,2021,3
35.0,-120.0,2021,4
35.0,-120.0,2021,5
35.0,-120.0,2021,6
35.0,-120.0,2021,7
35.0,-120.0,2021,8
35.0,-120.0,2021,9
35.0,-120.0,2021,10
35.0,-120.0,2021,11
35.0,-120.0,2021,12
35.0,-119.0,2019,7
35.0,-119.0,2019,8
35.0,-119.0,2019,9
35.0,-119.0,2019,10
35.0,-119.0,2019,11
35.0,-119.0,2019,12
35.0,-119.0,2020,1
35.0,-119.0,2020,2
35.0,-119.0,2020,3
35.0,-119.0,2020,4
35.0,-119.0,2020,5
35.0,-119.0,2020,6
35.0,-119.0,2020,7
35.0,-119.0,2020,8
35.0,-119.0,2020,9
35.0,-119.0,2020,10
35.0,-119.0,2020,11
35.0,-119.0,2020,12
35.0,-119.0,2021,1
35.0,-119.0,2021,2
35.0,-119.0,2021,3
35.0,-119.0,2021,4
35.0,-119.0,2021,5
35.0,-119.0,2021,6
35.0,-119.0,2021,7
35.0,-119.0,2021,8
35.0,-119.0,2021,9
35.0,-119.0,2021,10
35.0,-119.0,2021,11
35.0,-119.0,2021,12
35.0,-118.0,2019,7
35.0,-118.0,2019,8
35.0,-118.0,2019,9
35.0,-118.0,2019,10
35.0,-118.0,2019,11
35.0,-118.0,2019,12
35.0,-118.0,2020,1
35.0,-118.0,2020,2
35.0,-118.0,2020,3
35.0,-118.0,2020,4
35.0,-118.0,2020,5
35.0,-118.0,2020,6
35.0,-118.0,2020,7
35.0,-118.0,2020,8
35.0,-118.0,2020,9
35.0,-118.0,2020,10
35.0,-118.0,2020,11
35.0,-118.0,2020,12
35.0,-118.0,2021,1
35.0,-118.0,2021,2
35.0,-118.0,2021,3
35.0,-118.0,2021,4
35.0,-118.0,2021,5
35.0,-118.0,2021,6
35.0,-118.0,2021,7
35.0,-118.0,2021,8
35.0,-118.0,2021,9
35.0,-118.0,2021,10
35.0,-118.0,2021,11
35.0,-118.0,2021,12
35.0,-117.0,2019,7
35.0,-117.0,2019,8
35.0,-117.0,2019,9
35.0,-117.0,2019,10
35.0,-117.0,2019,11
35.0,-117.0,2019,12
35.0,-117.0,2020,1
35.0,-117.0,2020,2
35.0,-117.0,2020,3
35.0,-117.0,2020,4
35.0,-117.0,2020,5
35.0,-117.0,2020,6
35.0,-117.0,2020,7
35.0,-117.0,2020,8
35.0,-117.0,2020,9
35.0,-117.0,2020,10
35.0,-117.0,2020,11
35.0,-117.0,2020,12
35.0,-117.0,2021,1
35.0,-117.0,2021,2
35.0,-117.0,2021,3
35.0,-117.0,2021,4
35.0,-117.0,2021,5
35.0,-117.0,2021,6
35.0,-117.0,2021,7
35.0,-117.0,2021,8
35.0,-117.0,2021,9
35.0,-117.0,2021,10
35.0,-117.0,2021,11
35.0,-117.0,2021,12
35.0,-116.0,2019,7
35.0,-116.0,2019,8
35.0,-116.0,2019,9
35.0,-116.0,2019,10
35.0,-116.0,2019,11
35.0,-116.0,2019,12
35.0,-116.0,2020,1
35.0,-116.0,2020,2
35.0,-116.0,2020,3
35.0,-116.0,2020,4
35.0,-116.0,2020,5
35.0,-116.0,2020,6
35.0,-116.0,2020,7
35.0,-116.0,2020,8
35.0,-116.0,2020,9
35.0,-116.0,2020,10
35.0,-116.0,2020,11
35.0,-116.0,2020,12
35.0,-116.0,2021,1
35.0,-116.0,2021,2
35.0,-116.0,2021,3
35.0,-116.0,2021,4
35.0,-116.0,2021,5
35.0,-116.0,2021,6
35.0,-116.0,2021,7
35.0,-116.0,2021,8
35.0,-116.0,2021,9
35.0,-116.0,2021,10
35.0,-116.0,2021,11
35.0,-116.0,2021,12
35.0,-115.0,2019,7
35.0,-115.0,2019,8
35.0,-115.0,2019,9
35.0,-115.0,2019,10
35.0,-115.0,2019,11
35.0,-115.0,2019,12
35.0,-115.0,2020,1
35.0,-115.0,2020,2
35.0,-115.0,2020,3
35.0,-115.0,2020,4
35.0,-115.0,2020,5
35.0,-115.0,2020,6
35.0,-115.0,2020,7
35.0,-115.0,2020,8
35.0,-115.0,2020,9
35.0,-115.0,2020,10
35.0,-115.0,2020,11
35.0,-115.0,2020,12
35.0,-115.0,2021,1
35.0,-115.0,2021,2
35.0,-115.0,2021,3
35.0,-115.0,2021,4
35.0,-115.0,2021,5
35.0,-115.0,2021,6
35.0,-115.0,2021,7
35.0,-115.0,2021,8
35.0,-115.0,2021,9
35.0,-115.0,2021,10
35.0,-115.0,2021,11
35.0,-115.0,2021,12
36.0,-122.0,2019,7
36.0,-122.0,2019,8
36.0,-122.0,2019,9
36.0,-122.0,2019,10
36.0,-122.0,2019,11
36.0,-122.0,2019,12
36.0,-122.0,2020,1
36.0,-122.0,2020,2
36.0,-122.0,2020,3
36.0,-122.0,2020,4
36.0,-122.0,2020,5
36.0,-122.0,2020,6
36.0,-122.0,2020,7
36.0,-122.0,2020,8
36.0,-122.0,2020,9
36.0,-122.0,2020,10
36.0,-122.0,2020,11
36.0,-122.0,2020,12
36.0,-122.0,2021,1
36.0,-122.0,2021,2
36.0,-122.0,2021,3
36.0,-122.0,2021,4
36.0,-122.0,2021,5
36.0,-122.0,2021,6
36.0,-122.0,2021,7
36.0,-122.0,2021,8
36.0,-122.0,2021,9
36.0,-122.0,2021,10
36.0,-122.0,2021,11
36.0,-122.0,2021,12
36.0,-121.0,2019,7
36.0,-121.0,2019,8
36.0,-121.0,2019,9
36.0,-121.0,2019,10
36.0,-121.0,2019,11
36.0,-121.0,2019,12
36.0,-121.0,2020,1
36.0,-121.0,2020,2
36.0,-121.0,2020,3
36.0,-121.0,2020,4
36.0,-121.0,2020,5
36.0,-121.0,2020,6
36.0,-121.0,2020,7
36.0,-121.0,2020,8
36.0,-121.0,2020,9
36.0,-121.0,2020,10
36.0,-121.0,2020,11
36.0,-121.0,2020,12
36.0,-121.0,2021,1
36.0,-121.0,2021,2
36.0,-121.0,2021,3
36.0,-121.0,2021,4
36.0,-121.0,2021,5
36.0,-121.0,2021,6
36.0,-121.0,2021,7
36.0,-121.0,2021,8
36.0,-121.0,2021,9
36.0,-121.0,2021,10
36.0,-121.0,2021,11
36.0,-121.0,2021,12
36.0,-120.0,2019,7
36.0,-120.0,2019,8
36.0,-120.0,2019,9
36.0,-120.0,2019,10
36.0,-120.0,2019,11
36.0,-120.0,2019,12
36.0,-120.0,2020,1
36.0,-120.0,2020,2
36.0,-120.0,2020,3
36.0,-120.0,2020,4
36.0,-120.0,2020,5
36.0,-120.0,2020,6
36.0,-120.0,2020,7
36.0,-120.0,2020,8
36.0,-120.0,2020,9
36.0,-120.0,2020,10
36.0,-120.0,2020,11
36.0,-120.0,2020,12
36.0,-120.0,2021,1
36.0,-120.0,2021,2
36.0,-120.0,2021,3
36.0,-120.0,2021,4
36.0,-120.0,2021,5
36.0,-120.0,2021,6
36.0,-120.0,2021,7
36.0,-120.0,2021,8
36.0,-120.0,2021,9
36.0,-120.0,2021,10
36.0,-120.0,2021,11
36.0,-120.0,2021,12
